ContigID,ContigLength,LogProbability,PredictionResult,ReferenceAcc,ReferenceLength,MostProbablyVirusName
SRR6316294_NODE_4_length_3022_cov_7.855410,3022,80.4%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316294_NODE_8_length_2755_cov_21.049630,2755,98.3%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316275_NODE_4_length_3102_cov_91.799147,3102,82.5%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316275_NODE_6_length_2994_cov_10.605308,2994,80.1%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR6316314_NODE_1_length_3858_cov_75.704444,3858,150.2%,Full-length,NC_030650.1,2568,"Gorilla anellovirus isolate GorF ORF2 and ORF1 genes, complete cds; and nonfunctional ORF3 gene, complete sequence"
SRR6316314_NODE_2_length_3794_cov_72.717037,3794,101.6%,Full-length,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR6316314_NODE_3_length_3151_cov_71.309432,3151,86.8%,Partial,NC_014073.1,3629,"Torque teno virus 28, complete genome"
SRR6316314_NODE_5_length_3113_cov_79.922825,3113,82.8%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316314_NODE_10_length_2592_cov_4.729602,2592,69.0%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316233_NODE_1_length_3778_cov_110.229922,3778,100.5%,Full-length,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316233_NODE_2_length_3743_cov_117.718547,3743,99.6%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316233_NODE_3_length_3611_cov_112.376547,3611,96.1%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316233_NODE_4_length_3596_cov_134.751483,3596,99.1%,Partial,NC_014073.1,3629,"Torque teno virus 28, complete genome"
SRR6316233_NODE_5_length_3582_cov_90.132974,3582,95.3%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316233_NODE_7_length_3413_cov_110.529184,3413,90.8%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316233_NODE_8_length_3352_cov_146.026388,3352,89.7%,Partial,NC_014080.1,3736,"Torque teno virus 7, complete genome"
SRR6316233_NODE_9_length_3127_cov_89.766602,3127,86.4%,Partial,NC_026765.1,3621,"Simian torque teno virus 34 isolate VGA00120.1, complete genome"
SRR6316233_NODE_10_length_3051_cov_86.749666,3051,81.2%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316233_NODE_11_length_3042_cov_90.800803,3042,80.9%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316233_NODE_14_length_2973_cov_133.961960,2973,106.1%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316233_NODE_16_length_2950_cov_88.579620,2950,101.4%,Full-length,NC_014089.1,2908,"Torque teno mini virus 5, complete genome"
SRR6316233_NODE_17_length_2944_cov_27.208030,2944,78.3%,Partial,NC_014075.1,3759,"Torque teno virus 12, complete genome"
SRR6316233_NODE_21_length_2872_cov_4.160454,2872,102.5%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316233_NODE_22_length_2871_cov_106.993963,2871,102.4%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316233_NODE_24_length_2862_cov_16.978269,2862,88.0%,Partial,NC_014093.1,3253,"Torque teno midi virus 2, complete genome"
SRR6316233_NODE_25_length_2851_cov_20.545422,2851,101.7%,Full-length,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
SRR6316233_NODE_27_length_2807_cov_15.835756,2807,100.8%,Full-length,NC_014090.1,2785,"Torque teno mini virus 4, complete genome"
SRR6316233_NODE_31_length_2549_cov_82.843224,2549,90.9%,Partial,NC_030297.1,2803,"Torque teno mini virus 18 isolate 222, complete genome"
