alpos,logp,up99,lo99,up95,lo95
1,-2.703335,-2,-2,-1.30103,-1.30103
3,-2.703335,-2,2,-1.30103,1.30103
5,-2.703335,-2,2,-1.30103,1.30103
7,-2.703335,-2,2,-1.30103,1.30103
9,-2.703335,-2,2,-1.30103,1.30103
11,-2.703335,-2,2,-1.30103,1.30103
13,-2.703335,-2,2,-1.30103,1.30103
15,-2.703335,-2,2,-1.30103,1.30103
17,-2.703335,-2,2,-1.30103,1.30103
19,-2.703335,-2,2,-1.30103,1.30103
21,-2.703335,-2,2,-1.30103,1.30103
23,-2.703335,-2,2,-1.30103,1.30103
25,-2.703335,-2,2,-1.30103,1.30103
27,-2.703335,-2,2,-1.30103,1.30103
29,-2.703335,-2,2,-1.30103,1.30103
31,-2.703335,-2,2,-1.30103,1.30103
33,-2.703335,-2,2,-1.30103,1.30103
35,-2.703335,-2,2,-1.30103,1.30103
37,-2.703335,-2,2,-1.30103,1.30103
39,-2.703335,-2,2,-1.30103,1.30103
41,-2.703335,-2,2,-1.30103,1.30103
43,-2.703335,-2,2,-1.30103,1.30103
45,-2.703335,-2,2,-1.30103,1.30103
47,-2.703335,-2,2,-1.30103,1.30103
49,-2.703335,-2,2,-1.30103,1.30103
51,-2.703335,-2,2,-1.30103,1.30103
53,-2.703335,-2,2,-1.30103,1.30103
55,-2.703335,-2,2,-1.30103,1.30103
57,-2.703335,-2,2,-1.30103,1.30103
59,-2.703335,-2,2,-1.30103,1.30103
61,-2.703335,-2,2,-1.30103,1.30103
63,-2.703335,-2,2,-1.30103,1.30103
65,-2.703335,-2,2,-1.30103,1.30103
67,-2.703335,-2,2,-1.30103,1.30103
69,-2.703335,-2,2,-1.30103,1.30103
71,-2.703335,-2,2,-1.30103,1.30103
73,-2.703335,-2,2,-1.30103,1.30103
75,-2.703335,-2,2,-1.30103,1.30103
77,-2.703335,-2,2,-1.30103,1.30103
79,-2.703335,-2,2,-1.30103,1.30103
81,-2.703335,-2,2,-1.30103,1.30103
83,-2.703335,-2,2,-1.30103,1.30103
85,-2.703335,-2,2,-1.30103,1.30103
87,-2.703335,-2,2,-1.30103,1.30103
89,-2.703335,-2,2,-1.30103,1.30103
91,-2.703335,-2,2,-1.30103,1.30103
93,-2.703335,-2,2,-1.30103,1.30103
95,-2.703335,-2,2,-1.30103,1.30103
