depth,gc,acc,gcrank
83.48,0.51,SRR2037085_NODE_6491_length_2496_cov_30.374027,top10
82.08,0.48,SRR2037085_NODE_6491_length_2496_cov_30.374027,top10
50.01,0.46,SRR2037085_NODE_6491_length_2496_cov_30.374027,top10
83.78,0.45,SRR2037085_NODE_6491_length_2496_cov_30.374027,top10
65.83,0.45,SRR2037085_NODE_6491_length_2496_cov_30.374027,top10
61.21,0.45,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
81.13,0.44,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
54.15,0.43,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
71.28,0.43,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
68.52,0.42,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
91.88,0.42,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
73.65,0.42,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
93.77,0.41,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
71.01,0.4,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
97.79,0.39,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
77.4,0.39,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
57.08,0.39,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
36.67,0.39,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
43.3,0.39,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
69.48,0.39,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
77.85,0.38,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
74.79,0.38,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
96.52,0.36,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
82.39,0.35,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
79.92,0.35,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
81.9,0.35,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
77.01,0.35,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
69.12,0.35,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
85.6,0.34,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
88.53,0.34,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
83.27,0.34,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
75.77,0.33,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
85.27,0.33,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
39.4,0.32,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
80.24,0.32,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
70.06,0.32,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
68.38,0.32,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
76.96,0.31,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
52.73,0.31,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
73.21,0.31,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
64.91,0.3,SRR2037085_NODE_6491_length_2496_cov_30.374027,bot90
