alpos,rec_bp,up99,lo99,up95,lo95
1,4.72716,2.406084,2.406084,1.839761,1.839761
3,4.81977,2.487601,2.362296E-02,1.873924,4.175964E-02
5,4.887274,2.519363,2.526742E-02,1.908463,4.257059E-02
7,4.929671,2.547,2.689259E-02,1.923903,0.0431654
9,4.972068,2.574637,2.845911E-02,1.94298,4.376022E-02
11,5.014464,2.602274,2.957268E-02,1.962057,4.642707E-02
13,5.056861,2.629911,3.068625E-02,1.981134,0.0498547
15,5.099258,2.672108,3.179982E-02,1.990131,5.046185E-02
17,5.141655,2.717954,3.291338E-02,2.020035,5.101218E-02
19,5.184052,2.763799,3.402695E-02,2.081749,0.0515625
21,5.226449,2.809645,3.514051E-02,2.143463,5.211283E-02
23,5.268846,2.838281,3.594927E-02,2.204156,5.266315E-02
25,5.311242,2.856845,0.0370899,2.222797,5.321348E-02
27,5.366706,2.941478,3.786967E-02,2.355188,6.044336E-02
29,5.491261,3.050723,4.068242E-02,2.499221,6.960833E-02
31,5.569161,3.238473,4.239215E-02,2.671072,7.992393E-02
33,6.850103,3.975809,6.266031E-02,3.301695,0.1327077
35,7.500988,4.216149,6.846843E-02,3.513974,0.1603713
37,7.893878,4.343815,7.295145E-02,3.698913,0.1799241
39,8.306768,4.896552,7.767632E-02,3.954033,0.2315081
41,8.613443,5.013171,8.370388E-02,4.132398,0.2490828
43,8.920118,5.269454,8.973145E-02,4.320531,0.2782716
45,9.311757,5.875319,0.1029849,4.714344,0.3243847
47,9.662946,6.603244,0.1228354,5.257132,0.4485981
49,9.934781,7.151979,0.1302222,5.43934,0.5229947
51,10.04272,7.315742,0.1339875,5.532397,0.5606479
53,10.15065,7.36656,0.1394725,5.58077,0.5758602
55,10.31173,7.411414,0.1458148,5.866536,0.6413808
57,10.3772,7.434402,0.1534295,5.957819,0.6560214
59,10.42966,7.455647,0.1614668,5.981222,0.6608013
61,10.48213,7.476891,0.1695041,6.004625,0.6674448
63,10.5346,7.498135,0.1775413,6.032025,0.6801709
65,10.58707,7.51938,0.1855786,6.140856,0.6928971
67,10.63953,7.540624,0.1936159,6.147459,0.7056233
69,10.692,7.582823,0.2016531,6.150333,0.7183494
71,10.96964,7.682307,0.2201488,6.269459,0.7687051
73,11.07976,7.781297,0.2890219,6.708999,0.8173338
75,11.14882,7.839674,0.3037007,6.72682,0.8855822
77,11.21788,7.89805,0.306269,6.744641,0.8919313
79,11.28693,7.956426,0.3088373,6.762461,0.8982804
81,11.35599,8.014802,0.3114056,6.780282,0.9046295
83,11.42504,8.073178,0.3139739,6.798103,0.9109786
85,11.4941,8.131555,0.3165423,6.815924,0.9173276
87,11.56315,8.189931,0.3191106,6.833745,0.9368461
89,11.63221,8.248307,0.3216789,6.884309,0.9752581
91,11.72618,8.321317,0.3297199,7.133083,0.9841644
93,11.77975,8.419551,0.3408992,7.225552,1.026412
95,11.84473,8.470366,0.3584946,7.282591,1.073827
97,11.89891,8.482275,0.363944,7.363061,1.121828
99,11.95309,8.494184,0.3693934,7.393012,1.142009
101,12.02596,8.507689,0.3744173,7.430806,1.161893
103,12.26535,8.584118,0.3799382,7.517573,1.180685
105,12.35479,8.680422,0.3849606,7.588047,1.203079
107,12.76891,8.835581,0.4028844,7.685606,1.222606
109,12.85527,8.940665,0.4061339,7.714239,1.237036
111,12.94163,9.04575,0.4093835,7.81043,1.298748
113,13.2909,9.157363,0.4154891,8.090983,1.320698
115,13.42235,9.279827,0.4398914,8.214813,1.355782
117,13.46555,9.376645,0.480613,8.38737,1.381434
119,13.5559,9.689041,0.6063005,8.529243,1.546193
121,13.67338,9.954147,0.7843397,8.948541,1.678203
123,13.70058,10.60763,0.9888331,9.187043,1.865693
125,13.65237,10.72008,1.048856,9.232389,1.885304
127,13.5996,10.74603,1.057685,9.267609,1.899581
129,13.54683,10.77197,1.066514,9.308085,1.903588
131,13.49407,10.79791,1.075343,9.348561,1.907594
133,13.4413,10.82385,1.084172,9.384171,1.9116
135,13.44403,10.86281,1.122466,9.468645,1.925526
137,13.53224,10.90123,1.152966,9.597791,1.952658
139,13.62912,10.9796,1.195325,9.729815,2.019119
141,13.92662,11.03139,1.1968,9.869163,2.038623
143,13.95808,11.0554,1.197583,9.948247,2.058065
145,14.08846,11.09977,1.251993,9.964765,2.078952
147,14.149,11.18642,1.324086,9.994704,2.165916
149,14.13337,11.21085,1.340976,10.03301,2.192901
151,14.16224,11.23841,1.42168,10.07707,2.208462
153,14.16573,11.25738,1.487386,10.13515,2.314838
155,13.70236,11.27042,1.489084,10.13323,2.391622
157,13.64617,11.28138,1.490777,10.17104,2.424879
159,13.60396,11.29438,1.492556,10.21834,2.459309
161,13.56918,11.31386,1.494224,10.26948,2.467891
163,13.50911,11.33243,1.492648,10.18655,2.469985
165,13.45654,11.35407,1.487756,10.1543,2.471978
